Training..
Epoch 1 - Train Loss: 0.5535, Val Accuracy : 0.8268
best model saved
Epoch 2 - Train Loss: 0.4039, Val Accuracy : 0.8561
best model saved
Epoch 3 - Train Loss: 0.3694, Val Accuracy : 0.8610
best model saved
Epoch 4 - Train Loss: 0.3468, Val Accuracy : 0.8610
Epoch 5 - Train Loss: 0.3449, Val Accuracy : 0.8683
best model saved
Epoch 6 - Train Loss: 0.3356, Val Accuracy : 0.8951
best model saved
Epoch 7 - Train Loss: 0.3098, Val Accuracy : 0.8683
Epoch 8 - Train Loss: 0.3030, Val Accuracy : 0.8878
Epoch 9 - Train Loss: 0.3112, Val Accuracy : 0.8659
Epoch 10 - Train Loss: 0.2928, Val Accuracy : 0.8585
Epoch 11 - Train Loss: 0.3027, Val Accuracy : 0.8634
Epoch 12 - Train Loss: 0.2938, Val Accuracy : 0.8683
Epoch 13 - Train Loss: 0.2950, Val Accuracy : 0.8732
Epoch 14 - Train Loss: 0.2875, Val Accuracy : 0.8829
Epoch 15 - Train Loss: 0.2899, Val Accuracy : 0.8780
Epoch 16 - Train Loss: 0.2669, Val Accuracy : 0.8756
Epoch 17 - Train Loss: 0.2642, Val Accuracy : 0.8854
Epoch 18 - Train Loss: 0.2825, Val Accuracy : 0.8707
Epoch 19 - Train Loss: 0.2840, Val Accuracy : 0.8854
Epoch 20 - Train Loss: 0.2575, Val Accuracy : 0.8829
Epoch 21 - Train Loss: 0.2600, Val Accuracy : 0.8756
Epoch 22 - Train Loss: 0.2542, Val Accuracy : 0.8756
Epoch 23 - Train Loss: 0.2633, Val Accuracy : 0.8805
Epoch 24 - Train Loss: 0.2422, Val Accuracy : 0.8683
Epoch 25 - Train Loss: 0.2464, Val Accuracy : 0.8805
Epoch 26 - Train Loss: 0.2496, Val Accuracy : 0.8878
Epoch 27 - Train Loss: 0.2416, Val Accuracy : 0.8829
Epoch 28 - Train Loss: 0.2495, Val Accuracy : 0.8732
Epoch 29 - Train Loss: 0.2392, Val Accuracy : 0.8683
Epoch 30 - Train Loss: 0.2473, Val Accuracy : 0.8683
Epoch 31 - Train Loss: 0.2399, Val Accuracy : 0.8732
Epoch 32 - Train Loss: 0.2342, Val Accuracy : 0.8756
Epoch 33 - Train Loss: 0.2358, Val Accuracy : 0.8854
