Training..
Epoch 1 - Train Loss: 0.4569, Val Accuracy : 0.8634
best model saved
Epoch 2 - Train Loss: 0.3768, Val Accuracy : 0.8585
Epoch 3 - Train Loss: 0.3384, Val Accuracy : 0.8805
best model saved
Epoch 4 - Train Loss: 0.3122, Val Accuracy : 0.8805
Epoch 5 - Train Loss: 0.2988, Val Accuracy : 0.8585
Epoch 6 - Train Loss: 0.2898, Val Accuracy : 0.8805
Epoch 7 - Train Loss: 0.2888, Val Accuracy : 0.8878
best model saved
Epoch 8 - Train Loss: 0.2874, Val Accuracy : 0.8854
Epoch 9 - Train Loss: 0.2649, Val Accuracy : 0.8878
Epoch 10 - Train Loss: 0.2734, Val Accuracy : 0.9000
best model saved
Epoch 11 - Train Loss: 0.2795, Val Accuracy : 0.9049
best model saved
Epoch 12 - Train Loss: 0.2522, Val Accuracy : 0.9000
Epoch 13 - Train Loss: 0.2377, Val Accuracy : 0.8878
Epoch 14 - Train Loss: 0.2574, Val Accuracy : 0.8927
Epoch 15 - Train Loss: 0.2494, Val Accuracy : 0.9073
best model saved
Epoch 16 - Train Loss: 0.2315, Val Accuracy : 0.8683
Epoch 17 - Train Loss: 0.2119, Val Accuracy : 0.9000
Epoch 18 - Train Loss: 0.2259, Val Accuracy : 0.9024
Epoch 19 - Train Loss: 0.2219, Val Accuracy : 0.8902
Epoch 20 - Train Loss: 0.2167, Val Accuracy : 0.8951
Epoch 21 - Train Loss: 0.2141, Val Accuracy : 0.9024
Epoch 22 - Train Loss: 0.2078, Val Accuracy : 0.9000
Epoch 23 - Train Loss: 0.2119, Val Accuracy : 0.8902
Epoch 24 - Train Loss: 0.2143, Val Accuracy : 0.8780
Epoch 25 - Train Loss: 0.2101, Val Accuracy : 0.9098
best model saved
Epoch 26 - Train Loss: 0.2127, Val Accuracy : 0.9220
best model saved
Epoch 27 - Train Loss: 0.1835, Val Accuracy : 0.9098
Epoch 28 - Train Loss: 0.1931, Val Accuracy : 0.8829
Epoch 29 - Train Loss: 0.2112, Val Accuracy : 0.8951
Epoch 30 - Train Loss: 0.1793, Val Accuracy : 0.8927
Epoch 31 - Train Loss: 0.1832, Val Accuracy : 0.8829
Epoch 32 - Train Loss: 0.1738, Val Accuracy : 0.9098
Epoch 33 - Train Loss: 0.1529, Val Accuracy : 0.8902
Epoch 34 - Train Loss: 0.1763, Val Accuracy : 0.9073
Epoch 35 - Train Loss: 0.1800, Val Accuracy : 0.9073
Epoch 36 - Train Loss: 0.1754, Val Accuracy : 0.8732
Epoch 37 - Train Loss: 0.1483, Val Accuracy : 0.8878
Epoch 38 - Train Loss: 0.1623, Val Accuracy : 0.9073
Epoch 39 - Train Loss: 0.1460, Val Accuracy : 0.8854
Epoch 40 - Train Loss: 0.1696, Val Accuracy : 0.8829
Epoch 41 - Train Loss: 0.1782, Val Accuracy : 0.9049
Epoch 42 - Train Loss: 0.1514, Val Accuracy : 0.9024
Epoch 43 - Train Loss: 0.1509, Val Accuracy : 0.8976
Epoch 44 - Train Loss: 0.1496, Val Accuracy : 0.8732
Epoch 45 - Train Loss: 0.1455, Val Accuracy : 0.9073
Epoch 46 - Train Loss: 0.1615, Val Accuracy : 0.8829
Epoch 47 - Train Loss: 0.1649, Val Accuracy : 0.9122
Epoch 48 - Train Loss: 0.1308, Val Accuracy : 0.9146
Epoch 49 - Train Loss: 0.1424, Val Accuracy : 0.9073
Epoch 50 - Train Loss: 0.1143, Val Accuracy : 0.9146
Epoch 51 - Train Loss: 0.1225, Val Accuracy : 0.9171
Epoch 52 - Train Loss: 0.1226, Val Accuracy : 0.9244
best model saved
Epoch 53 - Train Loss: 0.1272, Val Accuracy : 0.9049
Epoch 54 - Train Loss: 0.1279, Val Accuracy : 0.8951
Epoch 55 - Train Loss: 0.1122, Val Accuracy : 0.9024
Epoch 56 - Train Loss: 0.1217, Val Accuracy : 0.8780
Epoch 57 - Train Loss: 0.1148, Val Accuracy : 0.9146
Epoch 58 - Train Loss: 0.1190, Val Accuracy : 0.9098
Epoch 59 - Train Loss: 0.0986, Val Accuracy : 0.9073
Epoch 60 - Train Loss: 0.1027, Val Accuracy : 0.8829
Epoch 61 - Train Loss: 0.1023, Val Accuracy : 0.9122
Epoch 62 - Train Loss: 0.1063, Val Accuracy : 0.9024
Epoch 63 - Train Loss: 0.1288, Val Accuracy : 0.8732
Epoch 64 - Train Loss: 0.0986, Val Accuracy : 0.8902
Epoch 65 - Train Loss: 0.1081, Val Accuracy : 0.9000
Epoch 66 - Train Loss: 0.0873, Val Accuracy : 0.9098
Epoch 67 - Train Loss: 0.1082, Val Accuracy : 0.8976
Epoch 68 - Train Loss: 0.1054, Val Accuracy : 0.8780
Epoch 69 - Train Loss: 0.0930, Val Accuracy : 0.9024
Epoch 70 - Train Loss: 0.0955, Val Accuracy : 0.9049
Epoch 71 - Train Loss: 0.0864, Val Accuracy : 0.9000
Epoch 72 - Train Loss: 0.0976, Val Accuracy : 0.9024
Epoch 73 - Train Loss: 0.0881, Val Accuracy : 0.9024
Epoch 74 - Train Loss: 0.0866, Val Accuracy : 0.8951
Epoch 75 - Train Loss: 0.0852, Val Accuracy : 0.9098
Epoch 76 - Train Loss: 0.0775, Val Accuracy : 0.9146
Epoch 77 - Train Loss: 0.0792, Val Accuracy : 0.8927
Epoch 78 - Train Loss: 0.0915, Val Accuracy : 0.8927
